"date","x","values","lat","long","Air.Temperature"
"01-2015",2885," 2.65","47.68438","-122.2601"," 35.45596"
"01-2015",2885," 2.65","47.68438","-122.2601"," 46.93173"
"01-2015",2885," 2.65","47.68438","-122.2601"," 43.44506"
"01-2015",2885," 2.65","47.68438","-122.2601"," 51.99488"
"01-2015",2885," 2.65","47.68438","-122.2601"," 38.07128"
"01-2015",2885," 2.65","47.68438","-122.2601"," 46.76586"
"01-2015",2885," 2.65","47.68438","-122.2601"," 43.52210"
"01-2015",2885," 2.65","47.68438","-122.2601"," 49.60993"
"01-2015",2885," 2.65","47.68438","-122.2601"," 40.13902"
"01-2015",2885," 2.65","47.68438","-122.2601"," 43.59779"
"01-2015",2885," 2.65","47.68438","-122.2601"," 45.49070"
"01-2015",2885," 2.65","47.68438","-122.2601"," 46.13312"
"01-2015",2885," 2.65","47.68438","-122.2601"," 43.36374"
"01-2015",2885," 2.65","47.68438","-122.2601"," 42.97822"
"01-2015",2885," 2.65","47.68438","-122.2601"," 54.44149"
"01-2015",2885," 2.65","47.68438","-122.2601"," 42.26622"
"01-2015",2885," 2.65","47.68438","-122.2601"," 49.35307"
"01-2015",2885," 2.65","47.68438","-122.2601"," 42.43541"
"01-2015",2885," 2.65","47.68438","-122.2601"," 54.07249"
"01-2015",2885," 2.65","47.68438","-122.2601"," 46.47149"
"01-2015",2885," 2.65","47.68438","-122.2601"," 47.05690"
"01-2015",2885," 2.65","47.68438","-122.2601"," 47.58398"
"01-2015",2885," 2.65","47.68438","-122.2601"," 53.03213"
"01-2015",2885," 2.65","47.68438","-122.2601"," 50.27873"
"01-2015",2885," 2.65","47.68438","-122.2601"," 45.31089"
"01-2015",2885," 2.65","47.68438","-122.2601"," 45.13078"
"01-2015",2885," 2.65","47.68438","-122.2601"," 50.78976"
"01-2015",2885," 2.65","47.68438","-122.2601"," 43.14574"
"01-2015",2885," 2.65","47.68438","-122.2601"," 47.73180"
"01-2015",2885," 2.65","47.68438","-122.2601"," 45.87894"
"01-2015",2885," 2.65","47.68438","-122.2601"," 43.12816"
"01-2015",2885," 2.61","47.69924","-122.3706"," 35.45596"
"01-2015",2885," 2.61","47.69924","-122.3706"," 46.93173"
"01-2015",2885," 2.61","47.69924","-122.3706"," 43.44506"
"01-2015",2885," 2.61","47.69924","-122.3706"," 51.99488"
"01-2015",2885," 2.61","47.69924","-122.3706"," 38.07128"
"01-2015",2885," 2.61","47.69924","-122.3706"," 46.76586"
"01-2015",2885," 2.61","47.69924","-122.3706"," 43.52210"
"01-2015",2885," 2.61","47.69924","-122.3706"," 49.60993"
"01-2015",2885," 2.61","47.69924","-122.3706"," 40.13902"
"01-2015",2885," 2.61","47.69924","-122.3706"," 43.59779"
"01-2015",2885," 2.61","47.69924","-122.3706"," 45.49070"
"01-2015",2885," 2.61","47.69924","-122.3706"," 46.13312"
"01-2015",2885," 2.61","47.69924","-122.3706"," 43.36374"
"01-2015",2885," 2.61","47.69924","-122.3706"," 42.97822"
"01-2015",2885," 2.61","47.69924","-122.3706"," 54.44149"
"01-2015",2885," 2.61","47.69924","-122.3706"," 42.26622"
"01-2015",2885," 2.61","47.69924","-122.3706"," 49.35307"
"01-2015",2885," 2.61","47.69924","-122.3706"," 42.43541"
"01-2015",2885," 2.61","47.69924","-122.3706"," 54.07249"
"01-2015",2885," 2.61","47.69924","-122.3706"," 46.47149"
"01-2015",2885," 2.61","47.69924","-122.3706"," 47.05690"
"01-2015",2885," 2.61","47.69924","-122.3706"," 47.58398"
"01-2015",2885," 2.61","47.69924","-122.3706"," 53.03213"
"01-2015",2885," 2.61","47.69924","-122.3706"," 50.27873"
"01-2015",2885," 2.61","47.69924","-122.3706"," 45.31089"
