"values","lat","long","date"
2.43,47.725033,-122.341384,2018-11-30
4.31,47.725033,-122.341384,2018-12-31
6.55,47.725033,-122.341384,2018-01-31
1.61,47.725033,-122.341384,2018-02-28
5.01,47.725033,-122.341384,2018-03-31
2.27,47.725033,-122.341384,2018-04-30
0.91,47.725033,-122.341384,2018-05-31
0.49,47.725033,-122.341384,2018-06-30
0.12,47.725033,-122.341384,2018-07-31
0.33,47.725033,-122.341384,2018-08-31
0.97,47.725033,-122.341384,2018-09-30
6.32,47.725033,-122.341384,2018-10-31
2.54,47.725033,-122.341384,2018-11-30
3.19,47.725033,-122.341384,2018-12-31
4.23,47.725033,-122.341384,2018-01-31
1.72,47.725033,-122.341384,2018-03-31
0.55,47.725033,-122.341384,2018-04-30
2.54,47.725033,-122.341384,2018-05-31
0.36,47.725033,-122.341384,2018-06-30
0.24,47.725033,-122.341384,2018-07-31
2.3,47.725033,-122.341384,2018-08-31
1.37,47.725033,-122.341384,2018-09-30
2.12,47.725033,-122.341384,2018-10-31
2.16,47.725033,-122.341384,2018-11-30
4.5,47.725033,-122.341384,2018-12-31
2.33,47.725033,-122.341384,2018-01-31
0.8,47.725033,-122.341384,2018-02-28
2.59,47.725033,-122.341384,2018-03-31
2.68,47.725033,-122.341384,2018-04-30
2.23,47.725033,-122.341384,2018-05-31
2,47.725033,-122.341384,2018-06-30
0.66,47.725033,-122.341384,2018-07-31
0.27,47.725033,-122.341384,2018-08-31
0.99,47.725033,-122.341384,2018-09-30
2.44,47.725033,-122.341384,2018-10-31
4.38,47.725033,-122.341384,2018-11-30
6.55,47.725033,-122.341384,2018-12-31
9.02,47.725033,-122.341384,2018-01-31
2.95,47.725033,-122.341384,2018-02-28
1.04,47.725033,-122.341384,2018-03-31
1.96,47.725033,-122.341384,2018-04-30
1.37,47.725033,-122.341384,2018-05-31
1.07,47.725033,-122.341384,2018-06-30
0.12,47.725033,-122.341384,2018-07-31
0.15,47.725033,-122.341384,2018-08-31
1.45,47.725033,-122.341384,2018-09-30
1.87,47.725033,-122.341384,2018-10-31
10.38,47.725033,-122.341384,2018-11-30
6.73,47.725033,-122.341384,2018-12-31
2.63,47.725033,-122.341384,2018-01-31
1.6,47.725033,-122.341384,2018-02-28
2.87,47.725033,-122.341384,2018-03-31
0.16,47.725033,-122.341384,2018-04-30
0,47.725033,-122.341384,2018-05-31
0.6,47.725033,-122.341384,2018-06-30
1.5,47.725033,-122.341384,2018-07-31
1.05,47.725033,-122.341384,2018-08-31
2.14,47.725033,-122.341384,2018-09-30
3.28,47.725033,-122.341384,2018-10-31
2.96,47.725033,-122.341384,2018-11-30
10.53,47.725033,-122.341384,2018-12-31
4.37,47.725033,-122.341384,2018-01-31
3.53,47.725033,-122.341384,2018-03-31
2.85,47.725033,-122.341384,2018-04-30
0.85,47.725033,-122.341384,2018-05-31
2.12,47.725033,-122.341384,2018-06-30
0.28,47.725033,-122.341384,2018-07-31
3.16,47.725033,-122.341384,2018-08-31
0.88,47.725033,-122.341384,2018-09-30
2.15,47.725033,-122.341384,2018-10-31
4.81,47.725033,-122.341384,2018-11-30
4.76,47.725033,-122.341384,2018-12-31
3.43,47.725033,-122.341384,2018-01-31
2.04,47.725033,-122.341384,2018-02-28
4.26,47.725033,-122.341384,2018-03-31
2.75,47.725033,-122.341384,2018-04-30
3.9,47.725033,-122.341384,2018-05-31
0.31,47.725033,-122.341384,2018-06-30
0.22,47.725033,-122.341384,2018-07-31
0.75,47.725033,-122.341384,2018-08-31
2.5,47.725033,-122.341384,2018-09-30
5.71,47.725033,-122.341384,2018-10-31
10.92,47.725033,-122.341384,2018-11-30
3.11,47.725033,-122.341384,2018-12-31
7.82,47.725033,-122.341384,2018-01-31
4.05,47.725033,-122.341384,2018-02-28
3.65,47.725033,-122.341384,2018-03-31
3.35,47.725033,-122.341384,2018-04-30
3.19,47.725033,-122.341384,2018-05-31
2.34,47.725033,-122.341384,2018-06-30
0.17,47.725033,-122.341384,2018-07-31
0.82,47.725033,-122.341384,2018-08-31
3.49,47.725033,-122.341384,2018-09-30
3.57,47.725033,-122.341384,2018-10-31
4.64,47.725033,-122.341384,2018-11-30
8.36,47.725033,-122.341384,2018-12-31
4.72,47.725033,-122.341384,2018-01-31
3.83,47.725033,-122.341384,2018-02-28
7.66,47.725033,-122.341384,2018-03-31
3.74,47.725033,-122.341384,2018-04-30
3.02,47.725033,-122.341384,2018-05-31
1.4,47.725033,-122.341384,2018-06-30
0.75,47.725033,-122.341384,2018-07-31
0.07,47.725033,-122.341384,2018-08-31
1,47.725033,-122.341384,2018-09-30
3.13,47.725033,-122.341384,2018-10-31
6.13,47.725033,-122.341384,2018-11-30
1.67,47.725033,-122.341384,2018-12-31
4.97,47.725033,-122.341384,2018-01-31
6.65,47.725033,-122.341384,2018-03-31
2.33,47.725033,-122.341384,2018-04-30
1.87,47.725033,-122.341384,2018-05-31
3.5,47.725033,-122.341384,2018-06-30
1.73,47.725033,-122.341384,2018-07-31
0,47.725033,-122.341384,2018-08-31
0.38,47.725033,-122.341384,2018-09-30
5.82,47.725033,-122.341384,2018-10-31
8.79,47.725033,-122.341384,2018-11-30
9.88,47.725033,-122.341384,2018-12-31
4.8,47.725033,-122.341384,2018-01-31
1.89,47.725033,-122.341384,2018-02-28
2.82,47.725033,-122.341384,2018-03-31
5.28,47.725033,-122.341384,2018-04-30
1.41,47.725033,-122.341384,2018-05-31
1.8,47.725033,-122.341384,2018-06-30
0.05,47.725033,-122.341384,2018-07-31
0.96,47.725033,-122.341384,2018-08-31
5.06,47.725033,-122.341384,2018-09-30
0.98,47.725033,-122.341384,2018-10-31
2.8,47.725033,-122.341384,2018-11-30
1.37,47.725033,-122.341384,2018-12-31
4.24,47.725033,-122.341384,2018-01-31
5.59,47.725033,-122.341384,2018-02-28
9.06,47.725033,-122.341384,2018-03-31
3.23,47.725033,-122.341384,2018-04-30
2.26,47.725033,-122.341384,2018-05-31
1.22,47.725033,-122.341384,2018-06-30
1.28,47.725033,-122.341384,2018-07-31
1.62,47.725033,-122.341384,2018-08-31
2.73,47.725033,-122.341384,2018-09-30
6.76,47.725033,-122.341384,2018-10-31
5.08,47.725033,-122.341384,2018-11-30
6.09,47.725033,-122.341384,2018-12-31
2.54,47.725033,-122.341384,2018-01-31
4.6,47.725033,-122.341384,2018-02-28
4.25,47.725033,-122.341384,2018-03-31
1.59,47.725033,-122.341384,2018-04-30
0.5,47.725033,-122.341384,2018-05-31
0.28,47.725033,-122.341384,2018-06-30
0.35,47.725033,-122.341384,2018-07-31
3.02,47.725033,-122.341384,2018-08-31
1.35,47.725033,-122.341384,2018-09-30
3.51,47.725033,-122.341384,2018-10-31
6.92,47.725033,-122.341384,2018-11-30
10.49,47.725033,-122.341384,2018-12-31
8.22,47.725033,-122.341384,2018-01-31
6.05,47.725033,-122.341384,2018-03-31
1.6,47.725033,-122.341384,2018-04-30
1.4,47.725033,-122.341384,2018-05-31
1.63,47.725033,-122.341384,2018-06-30
0.61,47.725033,-122.341384,2018-07-31
0.34,47.725033,-122.341384,2018-08-31
1.85,47.725033,-122.341384,2018-09-30
10.53,47.725033,-122.341384,2018-10-31
9.03,47.725033,-122.341384,2018-11-30
4.54,47.725033,-122.341384,2018-12-31
4.24,47.725033,-122.341384,2018-01-31
8.36,47.725033,-122.341384,2018-02-28
7.19,47.725033,-122.341384,2018-03-31
4.84,47.725033,-122.341384,2018-04-30
0,47.725033,-122.341384,2018-05-31
3.36,47.684385,-122.260105,2018-11-30
1.4,47.684385,-122.260105,2018-12-31
7.35,47.684385,-122.260105,2018-01-31
1.81,47.684385,-122.260105,2018-02-28
5.88,47.684385,-122.260105,2018-03-31
3.15,47.684385,-122.260105,2018-04-30
1.49,47.684385,-122.260105,2018-05-31
0.89,47.684385,-122.260105,2018-06-30
0.18,47.684385,-122.260105,2018-07-31
0.46,47.684385,-122.260105,2018-08-31
0.2,47.684385,-122.260105,2018-09-30
7.75,47.684385,-122.260105,2018-10-31
4.51,47.684385,-122.260105,2018-11-30
3.9,47.684385,-122.260105,2018-12-31
5.88,47.684385,-122.260105,2018-01-31
1.95,47.684385,-122.260105,2018-03-31
0.76,47.684385,-122.260105,2018-04-30
2.21,47.684385,-122.260105,2018-05-31
0.73,47.684385,-122.260105,2018-06-30
0.32,47.684385,-122.260105,2018-07-31
2.42,47.684385,-122.260105,2018-08-31
2.11,47.684385,-122.260105,2018-09-30
2.62,47.684385,-122.260105,2018-10-31
3.15,47.684385,-122.260105,2018-11-30
4.83,47.684385,-122.260105,2018-12-31
2.95,47.684385,-122.260105,2018-01-31
1.03,47.684385,-122.260105,2018-02-28
5.74,47.684385,-122.260105,2018-03-31
2.42,47.684385,-122.260105,2018-04-30
2.69,47.684385,-122.260105,2018-05-31
2.31,47.684385,-122.260105,2018-06-30
0.89,47.684385,-122.260105,2018-07-31
0.29,47.684385,-122.260105,2018-08-31
0.92,47.684385,-122.260105,2018-09-30
2.41,47.684385,-122.260105,2018-10-31
4.86,47.684385,-122.260105,2018-11-30
7.1,47.684385,-122.260105,2018-12-31
9.71,47.684385,-122.260105,2018-01-31
3.32,47.684385,-122.260105,2018-02-28
1.24,47.684385,-122.260105,2018-03-31
2.02,47.684385,-122.260105,2018-04-30
2.3,47.684385,-122.260105,2018-05-31
1.93,47.684385,-122.260105,2018-06-30
0.02,47.684385,-122.260105,2018-07-31
0.16,47.684385,-122.260105,2018-08-31
1.78,47.684385,-122.260105,2018-09-30
1.95,47.684385,-122.260105,2018-10-31
11.79,47.684385,-122.260105,2018-11-30
7.04,47.684385,-122.260105,2018-12-31
2.91,47.684385,-122.260105,2018-01-31
1.75,47.684385,-122.260105,2018-02-28
2.65,47.684385,-122.260105,2018-03-31
0.02,47.684385,-122.260105,2018-04-30
0,47.684385,-122.260105,2018-05-31
0.51,47.684385,-122.260105,2018-06-30
1.39,47.684385,-122.260105,2018-07-31
1.06,47.684385,-122.260105,2018-08-31
1.88,47.684385,-122.260105,2018-09-30
2.65,47.684385,-122.260105,2018-10-31
2.72,47.684385,-122.260105,2018-11-30
9.32,47.684385,-122.260105,2018-12-31
3.95,47.684385,-122.260105,2018-01-31
3.57,47.684385,-122.260105,2018-03-31
2.16,47.684385,-122.260105,2018-04-30
0.8,47.684385,-122.260105,2018-05-31
1.81,47.684385,-122.260105,2018-06-30
0.37,47.684385,-122.260105,2018-07-31
3.04,47.684385,-122.260105,2018-08-31
0.78,47.684385,-122.260105,2018-09-30
2.43,47.684385,-122.260105,2018-10-31
4.65,47.684385,-122.260105,2018-11-30
4.11,47.684385,-122.260105,2018-12-31
3.33,47.684385,-122.260105,2018-01-31
2.07,47.684385,-122.260105,2018-02-28
3.8,47.684385,-122.260105,2018-03-31
2.86,47.684385,-122.260105,2018-04-30
3.76,47.684385,-122.260105,2018-05-31
0.2,47.684385,-122.260105,2018-06-30
0.2,47.684385,-122.260105,2018-07-31
0.77,47.684385,-122.260105,2018-08-31
2.46,47.684385,-122.260105,2018-09-30
5.3,47.684385,-122.260105,2018-10-31
8.41,47.684385,-122.260105,2018-11-30
2.19,47.684385,-122.260105,2018-12-31
6.41,47.684385,-122.260105,2018-01-31
2.83,47.684385,-122.260105,2018-02-28
3.1,47.684385,-122.260105,2018-03-31
2.75,47.684385,-122.260105,2018-04-30
3.53,47.684385,-122.260105,2018-05-31
2.26,47.684385,-122.260105,2018-06-30
0.12,47.684385,-122.260105,2018-07-31
0.73,47.684385,-122.260105,2018-08-31
3.66,47.684385,-122.260105,2018-09-30
3.7,47.684385,-122.260105,2018-10-31
4.45,47.684385,-122.260105,2018-11-30
7.55,47.684385,-122.260105,2018-12-31
5.08,47.684385,-122.260105,2018-01-31
3.11,47.684385,-122.260105,2018-02-28
5.78,47.684385,-122.260105,2018-03-31
3.1,47.684385,-122.260105,2018-04-30
2.78,47.684385,-122.260105,2018-05-31
1.48,47.684385,-122.260105,2018-06-30
0.55,47.684385,-122.260105,2018-07-31
0.09,47.684385,-122.260105,2018-08-31
0.85,47.684385,-122.260105,2018-09-30
2.94,47.684385,-122.260105,2018-10-31
5.66,47.684385,-122.260105,2018-11-30
1.52,47.684385,-122.260105,2018-12-31
4.69,47.684385,-122.260105,2018-01-31
5.28,47.684385,-122.260105,2018-03-31
2.16,47.684385,-122.260105,2018-04-30
2.68,47.684385,-122.260105,2018-05-31
3.22,47.684385,-122.260105,2018-06-30
1.56,47.684385,-122.260105,2018-07-31
0,47.684385,-122.260105,2018-08-31
0.25,47.684385,-122.260105,2018-09-30
5.3,47.684385,-122.260105,2018-10-31
7.76,47.684385,-122.260105,2018-11-30
7.51,47.684385,-122.260105,2018-12-31
4.74,47.684385,-122.260105,2018-01-31
1.56,47.684385,-122.260105,2018-02-28
2.7,47.684385,-122.260105,2018-03-31
4.3,47.684385,-122.260105,2018-04-30
1.15,47.684385,-122.260105,2018-05-31
1.91,47.684385,-122.260105,2018-06-30
0.03,47.684385,-122.260105,2018-07-31
0.94,47.684385,-122.260105,2018-08-31
5.08,47.684385,-122.260105,2018-09-30
1.19,47.684385,-122.260105,2018-10-31
3.03,47.684385,-122.260105,2018-11-30
1.51,47.684385,-122.260105,2018-12-31
4.07,47.684385,-122.260105,2018-01-31
5.45,47.684385,-122.260105,2018-02-28
8.76,47.684385,-122.260105,2018-03-31
3.07,47.684385,-122.260105,2018-04-30
2.28,47.684385,-122.260105,2018-05-31
1.34,47.684385,-122.260105,2018-06-30
1.54,47.684385,-122.260105,2018-07-31
1.67,47.684385,-122.260105,2018-08-31
3.76,47.684385,-122.260105,2018-09-30
8.39,47.684385,-122.260105,2018-10-31
6.14,47.684385,-122.260105,2018-11-30
5.37,47.684385,-122.260105,2018-12-31
2.65,47.684385,-122.260105,2018-01-31
4.21,47.684385,-122.260105,2018-02-28
4.12,47.684385,-122.260105,2018-03-31
1.64,47.684385,-122.260105,2018-04-30
0.87,47.684385,-122.260105,2018-05-31
0.2,47.684385,-122.260105,2018-06-30
0.94,47.684385,-122.260105,2018-07-31
2.63,47.684385,-122.260105,2018-08-31
1.04,47.684385,-122.260105,2018-09-30
3.53,47.684385,-122.260105,2018-10-31
6.66,47.684385,-122.260105,2018-11-30
8.94,47.684385,-122.260105,2018-12-31
6.89,47.684385,-122.260105,2018-01-31
4.91,47.684385,-122.260105,2018-03-31
1.45,47.684385,-122.260105,2018-04-30
1.79,47.684385,-122.260105,2018-05-31
1.53,47.684385,-122.260105,2018-06-30
0.52,47.684385,-122.260105,2018-07-31
0.03,47.684385,-122.260105,2018-08-31
1.5,47.684385,-122.260105,2018-09-30
10.4,47.684385,-122.260105,2018-10-31
8.17,47.684385,-122.260105,2018-11-30
3.75,47.684385,-122.260105,2018-12-31
4.08,47.684385,-122.260105,2018-01-31
8.52,47.684385,-122.260105,2018-02-28
6.77,47.684385,-122.260105,2018-03-31
4.07,47.684385,-122.260105,2018-04-30
0,47.684385,-122.260105,2018-05-31
2.88,47.657997,-122.317634,2018-11-30
5.46,47.657997,-122.317634,2018-12-31
5.84,47.657997,-122.317634,2018-01-31
1.7,47.657997,-122.317634,2018-02-28
3.12,47.657997,-122.317634,2018-03-31
2.69,47.657997,-122.317634,2018-04-30
1.51,47.657997,-122.317634,2018-05-31
0.4,47.657997,-122.317634,2018-06-30
0.16,47.657997,-122.317634,2018-07-31
