"Crime.Subcategory","n"
"AGGRAVATED ASSAULT",359
"AGGRAVATED ASSAULT-DV",128
"ARSON",17
"BURGLARY-COMMERCIAL",554
"BURGLARY-COMMERCIAL-SECURE PARKING",40
"BURGLARY-RESIDENTIAL",764
"BURGLARY-RESIDENTIAL-SECURE PARKING",530
"CAR PROWL",2768
"DISORDERLY CONDUCT",5
"DUI",240
"FAMILY OFFENSE-NONVIOLENT",98
"HOMICIDE",5
"LIQUOR LAW VIOLATION",9
"MOTOR VEHICLE THEFT",721
"NARCOTIC",177
"PROSTITUTION",28
"RAPE",41
"ROBBERY-COMMERCIAL",128
"ROBBERY-RESIDENTIAL",7
"ROBBERY-STREET",134
"SEX OFFENSE-OTHER",89
"THEFT-ALL OTHER",976
"THEFT-BICYCLE",206
"THEFT-BUILDING",324
"THEFT-SHOPLIFT",830
"TRESPASS",609
"WEAPON",91
