"Crime.Subcategory","n"
"AGGRAVATED ASSAULT",293
"AGGRAVATED ASSAULT-DV",152
"ARSON",17
"BURGLARY-COMMERCIAL",499
"BURGLARY-COMMERCIAL-SECURE PARKING",24
"BURGLARY-RESIDENTIAL",905
"BURGLARY-RESIDENTIAL-SECURE PARKING",411
"CAR PROWL",2895
"DISORDERLY CONDUCT",7
"DUI",199
"FAMILY OFFENSE-NONVIOLENT",113
"HOMICIDE",3
"LIQUOR LAW VIOLATION",10
"MOTOR VEHICLE THEFT",774
"NARCOTIC",175
"PORNOGRAPHY",1
"PROSTITUTION",50
"RAPE",45
"ROBBERY-COMMERCIAL",88
"ROBBERY-RESIDENTIAL",8
"ROBBERY-STREET",156
"SEX OFFENSE-OTHER",110
"THEFT-ALL OTHER",1092
"THEFT-BICYCLE",346
"THEFT-BUILDING",346
"THEFT-SHOPLIFT",562
"TRESPASS",613
"WEAPON",112
